Node ID,Species ID ,Stage ID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,LifestyleStage,LifestyleSpecies,ConsumerStrategyStage,System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,Specific epithet,Subspecies,Node notes,
174,118,1,Adult,118.1,Cucullanellus minutus,Nematode,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Cucullanellus,minutus,,,
168,115,1,Adult,115.1,Hysterothylacium sp. / aduncum,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Hysterothylacium,sp.,,,
11,11,1,Adult,11.1,Nematodes,Nematode,Taxon,Phylum,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Nematoda,,,,,,,,,,,,,,
177,120,1,Adult,120.1,Rhabdochona sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Rhabdochona,sp.,,,
38,38,1,Adult,38.1,Ostracods,Ostracod,Taxon,Class,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Ostracoda,,,,,,,,,,,
4,4,1,Adult,4.1,Epipellic Flora,Plant,Common Name Group,Assemblage,aggregated diverse assemblage of diatoms,Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,,,,,,,,,,,,,,,,Epipellic flora is just diatoms in the original matrix
5,5,1,Adult,5.1,Macroalgae,Plant,Common Name Group,Assemblage,"This includes all multicellular photosynthetic assemblages not included elsewhere (e.g. algae, filamentous cyanobacteria)",Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,Adult,3.1,Phytoplankton,Plant,Common Name Group,Assemblage,aggregated diverse assemblage of phytoplankton,Autotroph,Freeliving,Freeliving,autotroph,,,Intermediate,resident,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1,Adult,6.1,Seagrass,Plant,Common Name Group,Assemblage,This includes all Alismatales,Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,Plantae,,,,,,,,,,,,,,,
79,79,1,Adult,79.1,Glossatella sp.,Protist,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Animalia,Ciliophora,,,,,,,,,,Glossatella,sp.,,,
78,78,1,Adult,78.1,Trichodina domergui,Protist,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Animalia,Ciliophora,,,,,,,,,,Trichodina,domergui,,,
39,39,1,Adult,39.1,Brown shrimp,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Crangon,crangon,,,
54,54,1,Adult,54.1,Neomysis integer,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Mysida,,,,,Neomysis,integer,,,
40,40,1,Adult,40.1,Palaemon squilla,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Palemon,squilla,,,
53,53,1,Adult,53.1,Praunus inermis,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Mysida,,,,,Praunus,inermis,,,
20,20,1,Adult,20.1,Hydrobia neglecta,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,neglecta,,,
21,21,1,Adult,21.1,Hydrobia ulvae,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,ulvae,,,
19,19,1,Adult,19.1,Hydrobia ventrosa,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,ventrosa,,,
22,22,1,Adult,22.1,Potamopyrgus jenkinsi,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Potamopyrgus,jenkensi,,,
26,26,1,Adult,26.1,Rissoa membranacea,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Rissoa,membranacea,,,
23,23,1,Adult,23.1,Rough periwinkle,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Littorina,saxatilis,,,
24,24,1,Adult,24.1,Smooth periwinkle,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Littorina,obtusata,,,
25,25,1,Adult,25.1,Turboella inconspicua,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Turboella,inconspicua,,,
133,96,1,Adult,96.1,Acanthostomum balthicum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthostomum,balthicum,,,
137,98,1,Adult,98.1,Aphalloides timmi,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Aphalloides,timmi,,,
135,97,1,Adult,97.1,Asymphylodora demeli,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Asymphylodora,demeli,,,
142,100,1,Adult,100.1,Brachyphallus crenatus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Brachyphallus,crenatus,,,
139,99,1,Adult,99.1,Bunocotyle cingulata,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Bunocotyle,cingulata,,,
103,88,1,Adult,88.1,Cerc. microphall. No. 4,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cercaria,microphallidarum no. 4,,,
95,86,1,Adult,86.1,Cryptocotyle concavum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cryptocotyle,concavum,,,
99,87,1,Adult,87.1,Cryptocotyle lingua,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cryptocotyle,lingua,,,
150,105,1,Adult,105.1,Fellodistomidae sp.,Trematode,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Fellodistomidae,,,,,
143,101,1,Adult,101.1,Hemiurus communis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Hemiurus,communis,,,
145,102,1,Adult,102.1,Hemiurus luehei,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Hemiurus,luehei,,,
83,83,1,Adult,83.1,Himasthla continua,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,continua,,,
87,84,1,Adult,84.1,Himasthla interrupta,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,interrupta,,,
91,85,1,Adult,85.1,Himasthla militaris,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,militaris,,,
147,103,1,Adult,103.1,Lecithaster confusus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Lecithaster,confusus,,,
121,93,1,Adult,93.1,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,,
149,104,1,Adult,104.1,Magnibursatus caudofilamentosa,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Magnibursatus,sp.,,,
107,89,1,Adult,89.1,Maritrema subdolum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,subdolum,,,
111,90,1,Adult,90.1,Microphallus claviformis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,claviformis,,,
114,91,1,Adult,91.1,Microphallus papillorobustum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,papillorobustum,,,
117,92,1,Adult,92.1,Microphallus pygmaeus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,pygmaeus,,,
125,94,1,Adult,94.1,Podocotyle atomon,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Podocotyle,atomon,,,
129,95,1,Adult,95.1,Psilochasmus oxyurus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Psilochasmus,oxyurus,,,
151,106,1,Adult,106.1,Strigeidae sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Strigidae,,,,,
153,107,1,Adult,107.1,Tylodelphis clavata,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Tylodelphis,clavata,,,
10,10,1,Adult,10.1,Flatworms,Turbellarian,Taxon,Class,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Platyhelminthes,,,Turbellaria,,,,,,,,,,,
